tag_no,date,country,publication,neg_result
w404,18-03-17, MY, The Sun Daily,0
w407,18-03-17, US, The Guardian,0
w408,18-03-17, CA, National Post,0.069
w409,18-03-17, CA, Tolerance.ca,0.196
w410,18-03-17, GB, Varsity Online,0.027
w411,18-03-17, GB, BBC News,0.045
w412,18-03-17, GB, Daily Mail,0
w413,18-03-17, GB, Varsity Online,0.051
w414,18-03-17, AU, CNET,0.063
w415,18-03-17, AU, The Sydney Morning Herald,0.057
w416,18-03-17, AU, ABC Online,0
w417,18-03-17, IN, BloombergQuint,0.055
w418,18-03-17, IN, The Indian Express,0.073
w420,18-03-17, US, The Guardian,0.062
w421,18-03-17, US, Business Insider,0.062
w422,18-03-17, US, The Guardian,0.038
w423,18-03-17, US, Digital Trends,0
w424,18-03-17, US, New York Times,0.017
w425,18-03-17, US, The Guardian,0.067
w426,18-03-17, US, NBCNews.com,0.039
w434,18-03-17, US, New York Times,0.058
w435,18-03-17, US, The Guardian,0.05
w436,18-03-17, US, The Mercury News,0.069
w437,18-03-17, US, Slate Magazine,0.025
w439,18-03-17, US, Fast Company,0.094
