tag_no,date,country,publication,neg_result,compound_result
w540,18-03-20, SG, The News Minute,0.07,0.0312
w541,18-03-20, SG, Business Insider,0.05,0.5888
w543,18-03-20, SG, The Straits Times,0,0
w544,18-03-20, SG, The New Paper,0.049,-0.7238
w545,18-03-20, SG, AsiaOne,0.091,-0.8591
w547,18-03-20, SG, The Straits Times,0,0
w548,18-03-20, PH, Philippine Star,0.326,-0.4404
w549,18-03-20, ZA, Moneyweb.co.za,0,0
w550,18-03-20, ZA, eNCA,0.066,-0.972
w551,18-03-20, NG, Wetinhappen Magazine (blog),0.109,-0.9423
w552,18-03-20, NG, Pulse Nigeria,0.186,-0.9889
w553,18-03-20, GH, Pulse.com.gh,0.05,0.5888
w554,18-03-20, KE, Daily Nation,0,0
w555,18-03-20, KE, The Standard,0.065,0.9479
w556,18-03-20, KE, PulseLive Kenya (satire),0.062,0.7684
w557,18-03-20, KE, PulseLive Kenya (satire),0.078,-0.7579
w558,18-03-20, KE, ZIPO.CO.KE,0,0
w561,18-03-20, IN, BloombergQuint,0.096,-0.9805
w562,18-03-20, IN, Financial Express,0,0
w563,18-03-20, IN, BloombergQuint,0.066,-0.872
w564,18-03-20, IN, BloombergQuint,0.021,0.8225
w565,18-03-20, IN, Business Today,0.064,0.8591
w566,18-03-20, IN, BloombergQuint,0.053,-0.583
w567,18-03-20, IN, Financial Express,0.398,-0.6486
w568,18-03-20, LK, Newsfirst,0.085,-0.936
w569,18-03-20, LK, The Sunday Times Sri Lanka,0.029,0.5423
w570,18-03-20, PK, The Express Tribune,0,0
w571,18-03-20, BD, ... (satire) (press release) (blog),0,0
w572,18-03-20, MY, The Edge Markets MY,0.058,-0.0093
w573,18-03-20, MY, The Edge Markets MY,0.01,0.9747
w574,18-03-20, MY, Malay Mail,0.018,0.9902
w575,18-03-20, MY, Malaysiakini,0.085,0.9944
w576,18-03-20, MY, The Edge Markets MY,0.054,0.9738
w577,18-03-20, MY, The Edge Markets MY,0.085,0.9367
w578,18-03-20, MY, The Edge Markets MY,0.142,-0.8555
w579,18-03-20, MY, malaysiandigest.com,0,0
w580,18-03-20, SG, The New Paper,0.052,0.8922
w581,18-03-20, SG, Marketing Interactive,0.333,-0.4215
w582,18-03-20, SG, Yahoo Singapore News,0.091,0.4588
w583,18-03-20, SG, The Independent,0.038,0.2263
w584,18-03-20, NZ, The Spinoff,0.056,-0.6738
w585,18-03-20, NZ, Radio New Zealand,0,0
w586,18-03-20, NZ, New Zealand Herald,0.048,0.997
w587,18-03-20, NZ, New Zealand Herald,0.061,-0.9387
w588,18-03-20, IN, BloombergQuint,0.037,0.7717
w589,18-03-20, IN, Mumbai Mirror,0,0
w590,18-03-20, IN, Times of India,0.156,-0.34
w591,18-03-20, IN, THE WEEK,0.085,-0.9
w592,18-03-20, IN, Business Standard,0,0
w593,18-03-20, IN, Times of India,0,0
w594,18-03-20, IN, BloombergQuint,0.042,0.9743
w595,18-03-20, IN, BloombergQuint,0.089,0.9764
w596,18-03-20, IN, Telangana Today,0.129,-0.9517
w597,18-03-20, IN, Scroll.in,0.08,-0.9708
w598,18-03-20, IN, Outlook India,0.082,-0.9371
w599,18-03-20, IN, News18,0.107,-0.25
w601,18-03-20, NZ, Stuff.co.nz,0,0
w602,18-03-20, NZ, Scoop.co.nz (press release),0.023,0.9965
w603,18-03-20, NZ, Newshub,0,0
w605,18-03-20, NZ, Stuff.co.nz,0,0
w606,18-03-20, NZ, Otago Daily Times,0.037,-0.3893
w607,18-03-20, NZ, New Zealand Herald,0.055,0.9521
w608,18-03-20, NZ, New Zealand Herald,0.093,0.7545
w609,18-03-20, NZ, Stuff.co.nz,0,0
w610,18-03-20, NZ, New Zealand Herald,0.045,0.971
w611,18-03-20, NZ, New Zealand Herald,0.121,-0.9971
w613,18-03-20, AU, Nine,0,0
w614,18-03-20, AU, The Australian Financial Review,0.018,0.9976
